"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-01",,,"0.06","0.0","0.0",,"58","39",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-02",,,"0.00","0.0","0.0",,"40","35",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-03",,,"0.00","0.0","0.0",,"44","37",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-04",,,"0.00","0.0","0.0",,"47","35",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-05",,,"0.50","0.0","0.0",,"47","41",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-06",,,"0.00","0.0","0.0",,"49","31",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-07",,,"0.00","0.0","0.0",,"34","25",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-08",,,"0.17","0.0","0.0",,"45","34",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-09",,,"0.06","0.0","0.0",,"45","34",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-10",,,"0.00","0.0","0.0",,"34","28",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-11",,,"0.00","0.0","0.0",,"30","21",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-12",,,"0.00","0.0","0.0",,"34","20",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-13",,,"0.00","0.0","0.0",,"33","25",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-14",,,"0.00","0.0","0.0",,"32","22",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-15",,,"0.00","0.0","0.0",,"36","25",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-16",,,"0.00","0.0","0.0",,"39","30",,,,,,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-17",,,"0.00","0.0","0.0",,"33","24",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-18",,,"0.05","0.5","1.2",,"39","29",,,,,,"    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-19",,,"0.29","0.2","0.0",,"37","32",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-20",,,"0.88","0.0","0.0",,"42","14",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-21",,,"0.00","0.0","0.0",,"14","4",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-22",,,"0.00","0.0","0.0",,"31","13",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-23",,,"0.00","0.0","0.0",,"52","31",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-24",,,"1.33","0.0","0.0",,"59","35",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-25",,,"0.00","0.0","0.0",,"40","28",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-26",,,"0.00","0.0","0.0",,"35","24",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-27",,,"0.00","0.0","0.0",,"49","32",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-28",,,"0.00","0.0","0.0",,"38","25",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-29",,,"0.23","0.0","0.0",,"43","25",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-30",,,"0.01","0.4","0.0",,"35","6",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01-31",,,"0.00","0.0","0.0",,"16","2",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-02-01",,,"0.00","0.0","0.0",,"21","11",,,,,,,,,,,
